               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.016515,           0.0092373,          0.00020901,             0.88828,             0.90558,             0.92158,             0.70874,            0.021268,           0.0081167,           0.0023672,            0.004159,            0.004159,            0.004159
                  61,            0.016168,           0.0090637,          0.00020118,              0.8854,             0.90262,             0.91965,             0.71489,            0.021307,            0.008122,           0.0026387,             0.00406,             0.00406,             0.00406
                  62,            0.016322,           0.0093757,          0.00020182,             0.92312,             0.87001,             0.91984,             0.70967,            0.021067,           0.0078018,           0.0037162,            0.003961,            0.003961,            0.003961
                  63,            0.015897,           0.0087931,          0.00023751,             0.90865,             0.86421,             0.90899,             0.70834,            0.021156,           0.0080153,           0.0031595,            0.003862,            0.003862,            0.003862
                  64,            0.015954,           0.0089066,          0.00021714,             0.92228,             0.87826,             0.91982,             0.70731,            0.021186,            0.008068,           0.0016037,            0.003763,            0.003763,            0.003763
                  65,            0.015976,           0.0090825,          0.00018498,             0.90396,             0.86927,              0.9079,             0.70029,            0.021219,           0.0085404,           0.0021135,            0.003664,            0.003664,            0.003664
                  66,            0.015506,           0.0087642,          0.00019012,               0.909,             0.90591,             0.92177,              0.7096,            0.021066,             0.00819,           0.0022697,            0.003565,            0.003565,            0.003565
                  67,            0.015672,           0.0086946,          0.00017795,             0.89389,             0.90543,             0.92209,             0.69876,            0.021526,           0.0084613,           0.0029035,            0.003466,            0.003466,            0.003466
                  68,            0.015701,            0.008555,          0.00016314,             0.90071,              0.8906,             0.90577,             0.70541,            0.021185,           0.0079651,           0.0034322,            0.003367,            0.003367,            0.003367
                  69,              0.0156,            0.009243,          0.00018383,             0.89278,             0.90791,             0.91365,             0.70462,            0.021166,           0.0079896,           0.0022698,            0.003268,            0.003268,            0.003268
                  70,            0.015711,           0.0089104,          0.00016029,             0.90409,             0.89403,             0.91736,             0.70261,            0.021359,           0.0082458,           0.0022269,            0.003169,            0.003169,            0.003169
                  71,            0.015433,           0.0087049,          0.00018668,             0.88745,             0.89965,             0.92214,             0.70791,            0.021607,           0.0085814,           0.0020472,             0.00307,             0.00307,             0.00307
                  72,            0.015336,           0.0086289,          0.00013584,             0.90738,             0.89405,             0.91206,             0.70916,            0.021259,           0.0081407,           0.0025033,            0.002971,            0.002971,            0.002971
                  73,            0.014883,           0.0082961,           0.0001683,              0.9179,             0.86645,             0.91229,             0.70444,            0.021471,           0.0084673,           0.0029565,            0.002872,            0.002872,            0.002872
                  74,            0.015024,           0.0084747,          0.00015494,              0.8834,             0.90599,              0.9153,             0.70917,            0.021157,           0.0082544,           0.0031197,            0.002773,            0.002773,            0.002773
                  75,            0.015121,           0.0086517,          0.00014329,              0.8957,             0.89678,             0.91143,             0.70566,            0.021108,           0.0081287,           0.0030412,            0.002674,            0.002674,            0.002674
                  76,            0.014905,           0.0086943,          0.00016544,             0.89732,             0.90362,             0.91644,             0.70902,            0.020925,           0.0081946,           0.0032596,            0.002575,            0.002575,            0.002575
                  77,            0.014559,           0.0083505,          0.00014049,             0.89807,             0.89351,             0.91654,             0.70983,            0.021058,           0.0083925,           0.0027782,            0.002476,            0.002476,            0.002476
                  78,            0.014704,           0.0082376,          0.00011877,              0.9303,             0.85921,             0.91008,             0.70879,             0.02102,           0.0081966,           0.0028652,            0.002377,            0.002377,            0.002377
                  79,            0.014528,           0.0082584,          9.9932e-05,             0.93003,             0.85939,             0.90883,             0.71986,            0.020889,            0.008385,           0.0031536,            0.002278,            0.002278,            0.002278
                  80,            0.014678,           0.0082843,          0.00011588,             0.89888,             0.88666,             0.90511,             0.70751,            0.021022,           0.0082808,           0.0037528,            0.002179,            0.002179,            0.002179
                  81,            0.014488,           0.0084205,          0.00011442,             0.92129,             0.86759,             0.91003,             0.70792,             0.02089,           0.0083663,           0.0036212,             0.00208,             0.00208,             0.00208
                  82,            0.014503,           0.0082833,          0.00010099,             0.90795,             0.88448,             0.91283,             0.71275,            0.020807,           0.0080716,           0.0036813,            0.001981,            0.001981,            0.001981
                  83,            0.014382,           0.0081393,          0.00010352,             0.91743,             0.89126,              0.9153,             0.71041,            0.020675,           0.0080321,           0.0027907,            0.001882,            0.001882,            0.001882
                  84,            0.013874,           0.0082796,          0.00013359,             0.89114,             0.90394,             0.91671,             0.71271,             0.02089,           0.0083554,           0.0043102,            0.001783,            0.001783,            0.001783
                  85,            0.013938,           0.0084246,          0.00011164,             0.91787,             0.86444,             0.91618,             0.71559,            0.020942,           0.0082312,           0.0026288,            0.001684,            0.001684,            0.001684
                  86,            0.013594,           0.0077971,          9.2205e-05,             0.91774,             0.88601,             0.91919,             0.71324,            0.021106,           0.0082603,           0.0041949,            0.001585,            0.001585,            0.001585
                  87,             0.01397,           0.0080711,           8.974e-05,              0.8998,             0.88134,             0.91274,             0.71427,            0.020915,           0.0083319,           0.0035538,            0.001486,            0.001486,            0.001486
                  88,            0.013712,           0.0081145,          8.0732e-05,             0.90837,             0.89522,             0.91556,               0.717,            0.020555,           0.0082807,           0.0027018,            0.001387,            0.001387,            0.001387
